No.,Component/Value,Qty (BOM),Unit Price ($),Total Price ($)
1,B8B-PH-K-S(LF)(SN),1,0.0961,0.0961
2,E73-2G4M08S1C,1,7.5888,7.5888
3,ICS-43434,1,6.5711,6.5711
4,MAX98357AETE+T,1,1.3362,1.3362
5,MCP73831T-2ACI/OT,1,0.7875,0.7875
6,ME6211C33M5G-N,1,0.0509,0.0509
7,SK6812,1,0.0894,0.0894
8,TS-1187A-B-A-B,1,0.0198,0.0198
9,TYPE-C-31-M-12,1,0.1857,0.1857
10,USBLC6-2SC6,1,0.0452,0.0452
11,1uF (CL05A105KA5NQNC),1,0.0143,0.0143
12,1uF (TCC0402X5R105M100AT),1,0.0032,0.0032
13,2kΩ (RMC06032K1%N),1,0.004,0.004
14,10kΩ (0402WGF1002TCE),1,0.0056*,0.0056
15,100kΩ (0603WAF1003T5E),1,0.0016,0.0016
16,100nF (0402X104K6R3),1,0.0023**,0.0023
17,XY-B2B-PH-K-S,2,0.0076,0.0152
18,5.1kΩ (RMC04025.1K1%N),2,0.0007,0.0014
19,100nF (CL05B104KO5NNNC),3,0.0027,0.0081
20,10uF (0603X106K100),4,0.0151,0.0604
Total,,,,$16.89